,1. How old are you ?,2. What is your current occupation?,3. How familiar are you with blockchain technology? ,4. How familiar are you with the concept of tokenization?,5. To what extent do you agree that Venture Capital Investment is accessible?,6. To what extent do you agree that tokenization will create new investment opportunities in the venture capital industry?,7. To what extent do you agree that tokenization will reduce the barriers to entry for venture capital investments?,"8. In your opinion, what impact will tokenization have on the liquidity of venture capital investments?",9. To what extent do you agree that tokenization will bring more innovation to the venture capital industry?,10. How do you see the future of tokenization and blockchain technology in the venture capital industry?,11. How do you think the adoption of tokenization will affect the traditional venture capital industry?,12. To what extent do you agree that the use of smart contracts will improve investment transparency?,13. To what extent do you agree that tokenization will eventually replace traditional forms of investment?,14. What kind of blockchain related investment have you done/led?,"15. To what extent do you agree with the statement: ""Investing in a token of a blockchain or a project contributes to its development and success""?","16. In your opinion, what is the biggest advantage of using tokenization in the venture capital industry?",17. What do you think are the biggest challenges to widespread adoption of tokenization in the venture capital industry?,18. How do you think tokenization affects the risk profile of an investment in a blockchain project?,19. How many new startups and innovative projects do you believe have been created as a result of the increased use of tokenization in venture capital investments?,"20. In your opinion, what are the disadvantages of tokenization in venture capital investments? (Select all that apply)"
,25-34,Startup Founder,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie A,Neutral,Not sure,Not sure,Decreases the risk,Many,Lack of investor protection
,25-34,Student,Very familiar,Somewhat familiar,Agree,Strongly Disagree,Agree,Decrease in liquidity,Agree,Will become the dominant form of investment,Will have no effect on the industry,Agree,Strongly Disagree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Increase investment ,Decline in value of paper money ,Decreases the risk,Many,Complexity
,35-44,Venture Capitalist,Very familiar,Somewhat familiar,Agree,Agree,Agree,Not sure,Disagree,Will be a passing trend,Will complement the industry,Disagree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Neutral,Not sure ,Lack of investor protection ,Not sure,A significant amount,Regulatory uncertainty
,35-44,Startup Founder,Somewhat familiar,Very familiar,Agree,Agree,Strongly agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Disagree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Disagree,It will increase the level on investment for sure ,Fraudulent acts by scammers ,Neutral,Many,Volatility
,18-24,Student,Very familiar,Somewhat familiar,Agree,Agree,Agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Neutral,ICO (Initial Coin Offering),Strongly Agree,Will disrupt the industry,Increase in trading ability,Decreases the risk,Many,Regulatory uncertainty
,25-34,Venture Capitalist,Not familiar,Not familiar,Neutral,Neutral,Strongly agree,Slight increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Increase innovation level ,Not sure ,Increases the risk,A significant amount,Lack of investor protection
,25-34,Student,Very familiar,Very familiar,Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,It helps PCI compliance,Fraud,Not sure,Some,Volatility
,25-34,Venture Capitalist,Somewhat familiar,Somewhat familiar,Agree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Agree,Value and volatility,Cyber hacking,Neutral,Many,Regulatory uncertainty
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will disrupt the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Credit card is secure,Value and volatility,Decreases the risk,A significant amount,Regulatory uncertainty
,45-55,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Neutral,ICO (Initial Coin Offering),Strongly Agree,Increase efficiency,Disclaimer,Neutral,Many,Theft and hacking
,18-24,Student,Somewhat familiar,Somewhat familiar,Agree,Agree,Neutral,Not sure,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,It builds customer trust ,Lack of proper regulation,Decreases the risk,Many,Volatility
,45-55,Industry Expert,Very familiar,Very familiar,Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,Other,Strongly Agree,Transparent transactions,It is hard to comprehend,Not sure,A significant amount,Lack of investor protection
,35-44,Industry Expert,Very familiar,Very familiar,Neutral,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Agree,ICO (Initial Coin Offering),Strongly Agree,Privacy enhancement,It can easily be hacked,Neutral,A significant amount,Limited adoption
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Strongly Agree,Reduce data theft risk,Black market activity,Neutral,A significant amount,Limited adoption
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It cannot be deciphered,Value and volatility,Not sure,A significant amount,Complexity
,45-55,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Increase accountability,Fraud,Not sure,Some,Lack of investor protection
,35-44,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It helps PCI compliance,It is too hard to comprehend,Neutral,Many,Lack of investor protection
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Strongly Agree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Neutral,Investment transparency,Worries about changing technology,Neutral,Many,Limited adoption
,18-24,Student,Somewhat familiar,Somewhat familiar,Agree,Strongly agree,Agree,Slight increase in liquidity,Neutral,Will become the dominant form of investment,Will complement the industry,Agree,Agree,Pre-Seed,Agree,It helps PCI compliance,It is hard to comprehend,Increases the risk,Some,Lack of investor protection
,55 and over,Industry Expert,Very familiar,Very familiar,Agree,Agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Avoid information theft risk,Regulatory uncertainty,Not sure,A significant amount,Lack of investor protection
,25-34,Venture Capitalist,Somewhat familiar,Somewhat familiar,Agree,Agree,Agree,Significant increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Agree,Neutral,ICO (Initial Coin Offering),Agree, Credit card is secure,It heads to bottleneck when sending data,Increases the risk,Very few,Lack of investor protection
,25-34,Student,Somewhat familiar,Somewhat familiar,Agree,Agree,Agree,Slight increase in liquidity,Neutral,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Credit card is secure,It can be hacked easily,Not sure,Very few,Lack of investor protection
,35-44,Investor,Very familiar,Somewhat familiar,Agree,Neutral,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will disrupt the industry,Neutral,Agree,Serie A,Neutral,It cannot be deciphered,Bank don't accept changing technology,Decreases the risk,Some,Regulatory uncertainty
,35-44,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Significant increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Neutral,Protect from fraud,Fraud ,Not sure,A significant amount,Lack of investor protection
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,Decrease in liquidity,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,ICO (Initial Coin Offering),Neutral,It cannot be deciphered,Bank don't accept changing technology,Decreases the risk,Many,Complexity
,18-24,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,ICO (Initial Coin Offering),Agree,Resistant to satiation,It heads to bottleneck when sending data,Not sure,A significant amount,Regulatory uncertainty
,25-34,Investor,Very familiar,Very familiar,Strongly Agree,Agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Strongly Agree,Credit card is secure,It is easy to loose your token asset,Not sure,Many,Volatility
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Disagree,Will be a passing trend,Will disrupt the industry,Neutral,Agree,Serie B,Agree,It build customer trust,Worries about changing technology,Increases the risk,Some,Lack of investor protection
,45-55,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Transparent transactions,Not easy to understand,Not sure,A significant amount,Regulatory uncertainty
,35-44,Investor,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Disagree,Seed,Agree,It build customer trust,Worries about changing technology,Increases the risk,Some,Lack of investor protection
,35-44,Venture Capitalist,Very familiar,Very familiar,Strongly Disagree,Strongly agree,Agree,Slight increase in liquidity,Disagree,Will coexist with traditional investments,Will disrupt the industry,Disagree,Disagree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Credit card is secure ,Scammer and fraudulent are too much in this aspect,Increases the risk,Many,Complexity
,35-44,Startup Founder,Somewhat familiar,Very familiar,Neutral,Strongly agree,Agree,Slight increase in liquidity,Neutral,Will become the dominant form of investment,Will complement the industry,Neutral,Disagree,Serie C,Disagree,Transparent transactions,Lack of proper regulation,Decreases the risk,A significant amount,Lack of investor protection
,35-44,Startup Founder,Somewhat familiar,Somewhat familiar,Strongly Agree,Strongly agree,Neutral,Decrease in liquidity,Agree,Will coexist with traditional investments,Will have no effect on the industry,Disagree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Theft and hacking,Increase accountability,Decreases the risk,A significant amount,Lack of investor protection
,45-55,Investor,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Slight increase in liquidity,Agree,Will become the dominant form of investment,Will have no effect on the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Black market activity,Transparency,Decreases the risk,Many,Limited adoption
,45-55,Startup Founder,Somewhat familiar,Somewhat familiar,Neutral,Agree,Neutral,Significant increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Disagree,Neutral,Serie B,Disagree,It enhance Transparent transactions,It enhance Value and volatility,Neutral,A significant amount,Complexity
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,No Impact,Strongly Agree,Will be a passing trend,Will have no effect on the industry,Neutral,Strongly Agree,ICO (Initial Coin Offering),Agree,Increase efficiency,Scam,Not sure,Very few,Volatility
,25-34,Venture Capitalist,Very familiar,Very familiar,Agree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Helps PCI compliance,Not easily be hacked,Increases the risk,Some,Limited adoption
,25-34,Venture Capitalist,Very familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Disagree,Will be a passing trend,Will complement the industry,Neutral,Disagree,Serie A,Agree,It always Reduces data theft risk,It brings about Disclaimer,Neutral,Many,Limited adoption
,45-55,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Great increase in efficiency,Disclaimer,Not sure,A significant amount,Lack of investor protection
,35-44,Investor,Somewhat familiar,Somewhat familiar,Strongly Agree,Agree,Strongly agree,No Impact,Neutral,Will be a passing trend,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Build customers trust,It's hard to understand,Neutral,Many,Regulatory uncertainty
,25-34,Venture Capitalist,Somewhat familiar,Somewhat familiar,Neutral,Strongly agree,Strongly agree,No Impact,Strongly Agree,Will be a passing trend,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,It cannot be deciphered,Cyber hacking,Increases the risk,Some,Complexity
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Good accountability,Lack  of privacy,Not sure,A significant amount,Limited adoption
,35-44,Industry Expert,Somewhat familiar,Very familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Disagree,Neutral,Serie B,Agree,It Facilitate using block chain technology,It is very easy to loose your token asset,Neutral,A significant amount,Limited adoption
,45-55,Industry Expert,Very familiar,Very familiar,Strongly Agree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Helps build customer trust,Easily hacked,Not sure,A significant amount,Limited adoption
,35-44,Industry Expert,Very familiar,Somewhat familiar,Neutral,Neutral,Agree,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie B,Neutral,It Facilitate using block chain technology,It's also easy to loose your token asset,Decreases the risk,Many,Volatility
,35-44,Venture Capitalist,Very familiar,Very familiar,Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Increase efficiency,Lack of limits in adoption,Not sure,Many,Limited adoption
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Neutral,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Credit card is secured ,Piracy,Decreases the risk,Many,Complexity
,35-44,Industry Expert,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Facilities using block chain technology,Cyber hacking,Not sure,A significant amount,Volatility
,45-55,Venture Capitalist,Somewhat familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Decrease in liquidity,Strongly Agree,Will be a passing trend,Will complement the industry,Neutral,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Building good relationship between customer ,Easy to get hacked,Increases the risk,Some,Regulatory uncertainty
,45-55,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Not sure,Strongly Agree,Will coexist with traditional investments,Will have no effect on the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Enhance trust,Lack of proper regulations,Decreases the risk,A significant amount,Limited adoption
,35-44,Startup Founder,Very familiar,Very familiar,Agree,Agree,Strongly agree,Decrease in liquidity,Neutral,Will be a passing trend,Will have no effect on the industry,Neutral,Strongly Agree,Pre-Seed,Agree,Increase the level of accountability,Fraud,Decreases the risk,A significant amount,Lack of investor protection
,25-34,Venture Capitalist,Very familiar,Very familiar,Neutral,Disagree,Disagree,Slight increase in liquidity,Disagree,Will coexist with traditional investments,Will complement the industry,Agree,Disagree,Serie C,Neutral,It helps in Privacy enhancement,It also leads to Fraud,Decreases the risk,Many,Limited adoption
,45-55,Investor,Somewhat familiar,Very familiar,Agree,Strongly agree,Agree,Decrease in liquidity,Neutral,Will be a passing trend,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Block chain technology enhancing ,Lack of proper regulations ,Neutral,Unsure,Complexity
,35-44,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will disrupt the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Speed response,Disclaimer,Not sure,A significant amount,Regulatory uncertainty
,55 and over,Startup Founder,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Decrease in liquidity,Neutral,Will be a passing trend,Will complement the industry,Agree,Agree,Serie B,Strongly Agree,Reduce data risk theft ,Disclaimer,Not sure,Unsure,Limited adoption
,35-44,Startup Founder,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Neutral,Great enhancement,Limited technology adaptation,Not sure,Some,Complexity
,35-44,Investor,Very familiar,Very familiar,Agree,Agree,Strongly agree,Not sure,Agree,Will become the dominant form of investment,Will have no effect on the industry,Agree,Strongly Agree,Serie C,Disagree,Increase efficiency,Fraudulent risk,Not sure,Very few,Regulatory uncertainty
,25-34,Venture Capitalist,Very familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,Seed,Agree,It is  Resistant to satiation always ,It increases the rate of Scammers,Neutral,Many,Limited adoption
,35-44,Industry Expert,Somewhat familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,No Impact,Agree,Will be a passing trend,Will have no effect on the industry,Strongly agree,Neutral,Pre-Seed,Agree,Transparency,Worries about changing technologies,Neutral,Many,Lack of investor protection
,35-44,Industry Expert,Somewhat familiar,Very familiar,Strongly Agree,Agree,Agree,Decrease in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Accountability,Scam,Increases the risk,Many,Lack of investor protection
,45-55,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It is hard to comprehend,Regulatory uncertainty,Not sure,Some,Complexity
,45-55,Industry Expert,Very familiar,Very familiar,Neutral,Neutral,Disagree,No Impact,Disagree,Will coexist with traditional investments,Will disrupt the industry,Disagree,Neutral,Serie A,Strongly Disagree,It enhance the Increase of accountability,It increases Black market activity,Neutral,Many,Lack of investor protection
,45-55,Industry Expert,Somewhat familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Improved technology,Disclaimer,Decreases the risk,A significant amount,Limited adoption
,45-55,Startup Founder,Very familiar,Very familiar,Neutral,Agree,Disagree,Decrease in liquidity,Agree,Will become the dominant form of investment,Will complement the industry,Agree,Agree,Pre-Seed,Neutral,Helps pci compliance ,Cyber crime,Neutral,Very few,Limited adoption
,45-55,Industry Expert,Somewhat familiar,Not familiar,Disagree,Disagree,Strongly Disagree,Decrease in liquidity,Disagree,Will be a passing trend,Will have no effect on the industry,Strongly Disagree,Neutral,Serie C,Neutral,It helps PCI compliance to be effective ,It increases Cyber hacking,Decreases the risk,A significant amount,Limited adoption
,35-44,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Neutral,ICO (Initial Coin Offering),Strongly Agree,Accountability,Easy to scam,Decreases the risk,A significant amount,Regulatory uncertainty
